SL. NO.,ADDRESS,COUNTRY,STATE,CITY,TIMEZONE,ping_delay_time,last_router_delay,traceroute_steps,traceroute_time,total_delay,minimum_rtt,maximum_rtt,average_rtt,time_to_live,latitude,longitude
138,117.237.243.156,India,Nagaland,Kohima,Asia/Calcutta,67.306,4.872,6.0,24.842,38.824,34.82,51.443,44.881,62.0,25.6667,94.1167
139,117.215.153.166,India,Haryana,Panchkula,Asia/Calcutta,68.095,7.779,6.0,22.69,38.341,34.899,50.923,42.12,109.0,30.6954,76.853
140,59.98.96.17,India,Maharashtra,Ahmednagar,Asia/Calcutta,68.594,4.239,6.0,26.281,37.631,33.611,43.742,40.436,84.0,19.116,74.7227
141,117.194.116.229,India,West Bengal,Kolkata,Asia/Calcutta,66.313,5.467,6.0,21.161,33.214,28.383,43.305,33.93,104.0,22.6494,88.3158
142,117.193.153.121,India,Tamil Nadu,Chennai,Asia/Calcutta,65.341,4.953,6.0,23.345,34.373,27.358,47.25,37.114,54.0,13.126,80.2643
143,117.221.222.202,India,Tamil Nadu,Mayiladuthurai,Asia/Calcutta,68.782,7.97,7.0,27.281,37.67,31.375,44.164,37.543,103.0,11.1,79.65
144,117.230.27.48,India,Karnataka,Bengaluru,Asia/Calcutta,66.713,5.816,7.0,23.504,35.897,31.968,45.795,40.782,125.0,12.9622,77.5643
145,117.241.214.240,India,Punjab,Firozpur,Asia/Calcutta,68.85,9.602,6.0,26.856,39.896,33.5,46.725,39.109,62.0,30.9333,74.6167
146,117.220.163.114,India,National Capital Territory of Delhi,New Delhi,Asia/Calcutta,64.341,7.17,7.0,23.281,40.675,36.315,46.269,41.993,95.0,28.6322,77.2203
147,117.197.125.115,India,Maharashtra,Pune,Asia/Calcutta,66.208,7.373,6.0,23.504,37.662,32.157,48.328,42.053,93.0,18.4192,73.9796
148,117.242.100.29,India,Punjab,Jalandhar,Asia/Calcutta,72.536,8.144,6.0,26.489,42.582,37.402,52.733,44.728,102.0,31.325,75.5792
149,117.203.73.67,India,Tamil Nadu,Salem,Asia/Calcutta,65.836,6.051,6.0,23.267,38.908,32.04,49.351,40.986,99.0,11.6533,78.1279
150,117.205.243.107,India,National Capital Territory of Delhi,Delhi,Asia/Calcutta,68.42,8.713,7.0,23.695,35.984,29.951,49.266,38.541,54.0,28.6829,77.1876
151,59.95.155.79,India,Rajasthan,Jaipur,Asia/Calcutta,70.869,10.007,6.0,26.665,39.38,34.81,50.436,41.456,70.0,26.8946,75.8028
152,117.199.244.123,India,Jharkhand,Jamshedpur,Asia/Calcutta,67.369,7.341,6.0,23.636,38.994,35.739,46.816,39.879,50.0,22.8151,86.2442
153,117.194.160.18,India,Sikkim,Gangtok,Asia/Calcutta,68.001,9.369,6.0,25.843,37.47,32.626,47.093,39.045,71.0,27.3256,88.6183
154,61.3.71.93,India,Kerala,Ernakulam,Asia/Calcutta,66.583,4.414,6.0,23.241,33.578,27.18,46.981,35.113,64.0,9.9815,76.301
155,117.222.230.254,India,Haryana,Yamunanagar,Asia/Calcutta,67.627,9.42,6.0,25.469,38.805,32.785,46.88,41.499,59.0,30.0667,77.2833
156,117.220.163.69,India,National Capital Territory of Delhi,Delhi,Asia/Calcutta,68.018,7.643,6.0,25.648,42.706,35.551,53.038,45.835,63.0,28.693,77.236
157,117.230.191.5,India,Kerala,Kollam,Asia/Calcutta,69.429,10.082,7.0,26.548,41.514,33.925,47.655,40.911,112.0,8.8608,76.6284
158,117.220.163.99,India,National Capital Territory of Delhi,New Delhi,Asia/Calcutta,67.488,8.446,7.0,24.535,37.708,33.84,48.833,43.102,58.0,28.6571,77.247
159,61.0.35.237,India,Gujarat,Ahmedabad,Asia/Calcutta,69.515,8.37,6.0,25.124,37.82,33.044,45.587,38.51,74.0,23.0255,72.5587
160,117.214.100.213,India,Odisha,Cuttack,Asia/Calcutta,69.207,6.004,7.0,22.287,41.278,33.734,50.344,43.189,113.0,20.4625,85.8828
161,117.217.144.106,India,Kerala,Kottayam,Asia/Calcutta,67.783,7.073,6.0,23.338,36.156,31.54,50.255,42.417,77.0,9.5916,76.5228
162,117.198.0.173,India,Maharashtra,Pune,Asia/Calcutta,71.466,8.797,6.0,26.283,38.884,34.111,45.616,38.196,101.0,18.4134,74.0332
163,117.208.83.174,India,Haryana,Fatehabad,Asia/Calcutta,66.137,9.598,7.0,26.046,42.504,37.248,48.771,42.826,98.0,29.52,75.45
164,117.230.80.16,India,Kerala,Thrissur,Asia/Calcutta,66.455,6.565,7.0,25.76,38.393,34.479,50.675,43.987,64.0,10.5193,76.2257
165,59.91.244.10,India,Haryana,Panipat,Asia/Calcutta,69.819,9.253,7.0,27.614,43.309,35.609,55.576,44.966,91.0,29.3919,76.9631
166,117.221.156.235,India,Kerala,Thrissur,Asia/Calcutta,67.28,5.828,6.0,24.723,39.971,32.397,53.326,43.782,101.0,10.4955,76.1989
167,117.194.171.86,India,Kerala,Palakkad,Asia/Calcutta,68.652,5.322,7.0,24.887,41.327,37.345,48.216,44.13,96.0,10.7816,76.6521
168,117.224.165.162,India,Haryana,Panchkula,Asia/Calcutta,67.631,4.856,6.0,23.384,34.245,30.665,48.953,39.516,73.0,30.681,76.8631
169,117.225.208.195,India,Haryana,Hisar,Asia/Calcutta,66.487,3.661,6.0,20.283,34.184,28.757,45.334,38.128,107.0,29.1494,75.7211
170,59.97.7.59,India,Maharashtra,Jagtial,Asia/Calcutta,66.098,5.475,6.0,24.976,34.199,27.03,41.562,32.51,114.0,10.623,72.3697
